,Judul Berita,Waktu Diunggah
0,TNI Bakal Datangkan Kapal Khusus untuk Angkut Bagian Besar Pesawat Sriwijaya Air SJ-182,13 menit lalu 
1,"Login pip.kemdikbud.go.id, Cek Penerima Dana Program Indonesia Pintar (PIP) untuk SD-SMP-SMA",16 menit lalu 
2,Keluarga Penumpang Sriwijaya Air SJ182: Asa Kami Masih Ada,44 menit lalu 
3,Cerita Penumpang Batal Terbang dengan Pesawat Sriwijaya SJ 182 Karena Tak Mampu Bayar Tes Covid-19,50 menit lalu 
4,"Sang Anak Jadi Penumpang Sriwijaya Air, Ayah Indah: Harusnya Terbang ke Pontianak Tanggal 10 Januari",58 menit lalu 
5,"Cek Nama Penerima Bantuan Program Indonesia Pintar di pip.kemdikbud.go.id, Siswa SMA Dapat Rp 1 Juta",1 jam lalu 
6,RS Polri Terima 7 Kantong Jenazah Korban Kecelakaan Pesawat Sriwijaya Air SJ 182,1 jam lalu 
7,"Wanita di Honduras Mengira Telah Memakamkan Suaminya, tetapi 4 Hari Kemudian Sang Suami Pulang",1 jam lalu 
8,Sambil Gowes Ganjar Tegur Warga yang Tidak Bermasker,1 jam lalu 
9,Menhub Pastikan Jasa Raharja dan Sriwijaya Air Akan Penuhi Hak Keluarga Korban,1 jam lalu 
10,"Besok, Tim DVI Mulai Identifikasi Bagian Tubuh Korban Sriwijaya Air SJ 182",1 jam lalu 
11,Pengamat: Semakin Tua Usia Pesawat Semakin Banyak Kerusakan atau Malfunction yang Tersembunyi,1 jam lalu 
12,Penyelam Polri Temukan Bagian Tubuh dan Serpihan Pesawat Sriwijaya Air SJ 182,1 jam lalu 
13,RS Polri Terima 7 Kantung Jenazah Korban Sriwijaya Air SJ 182,1 jam lalu 
14,Penyelam Gabungan Polairud Temukan Bagian Tubuh Korban dan Serpihan Pesawat Sriwijaya Air,1 jam lalu 
15,"Kapolda Metro Jaya Sambangi RS Polri, Sapa Keluarga Penumpang Sriwijaya Air SJ-182",1 jam lalu 
16,3 Alat Pinger Finder Diturunkan untuk Lacak Black Box Pesawat Sriwijaya Air SJ-182,1 jam lalu 
17,"Rusak Jendela Rumah, Kakek 61 Tahun Nekat Curi Handphone, Uangnya untuk Memenuhi Kebutuhan",2 jam lalu 
18,"Gara-gara Tertukar Sandal saat Main Gaple, Remaja 17 Tahun Babak Belur Dikeroyok 6 Temannya",2 jam lalu 
19,"Sebelum Berangkat Pilot Sriwijaya Air SJ 182 Minta Maaf ke Keluarga, Anaknya Bilang: Abi Kok Lebay",2 jam lalu 
20,Presiden Sampaikan Belasungkawa Atas Musibah Jatuhnya Pesawat Sriwijaya SJ 182 pada HUT Ke-48 PDIP,2 jam lalu 
21,Ketua Umum SOKSI Ali Wongso Angkat Ferry Juan Jadi Ketua Depipus BKS,2 jam lalu 
22,Keluarga Penumpang Sriwijaya Air SJ-182 Dipindahkan ke RS Polri Kramat Jati,2 jam lalu 
23,"Kelakuan Tak Biasa Pilot Sriwijaya Air SJ 182 Sebelum Take Off, Sang Istri Ceritakan Itu ke Ketua RT",2 jam lalu 
24,"Penumpang Sriwijaya Air yang Jatuh Sempat Unggah Status WA, Ungkap Kekesalan karena Datang Kepagian",2 jam lalu 
25,Pengamat Ungkap Sejumlah Kemungkinan Penyebab Jatuhnya Pesawat Sriwijaya Air SJ 182,2 jam lalu 
26,"Syarat Rekrutmen Calon Perwira Prajurit Karir Khusus Tenaga Kesehatan 2021, Ini Lokasi Pendaftaran",2 jam lalu 
27,"Truk Tronton Tabrak Sejumlah Pedagang Buah, Diduga Rem Blong, Korban Sempat Terlempar",2 jam lalu 
28,Pengakuan Keluarga Pramugari Sriwijaya Air yang Jatuh: Dia Seharusnya Tidak di Penerbangan Itu,2 jam lalu 
29,"Cuaca Ekstrem, Tim Penyelam Tunda Proses Pencarian Bangkai Pesawat Sriwijaya Air SJ 182",3 jam lalu 
30,5 Fase Proses Identifikasi Korban Sriwijaya Air SJ-182 yang Dilakukan RS Polri,3 jam lalu 
31,Kunci Jawaban Tema 5 Kelas 3 SD Halaman 12-15 Buku Tematik Pembelajaran 2 Keadaan Cuaca,3 jam lalu 
32,"3 Presiden Amerika Sepanjang Sejarah yang Memboikot Pelantikan Presiden Baru, Donald Trump Menyusul",3 jam lalu 
33,Potongan Badan Pesawat Sriwijaya SJ 182 Berada di Kedalaman Sekitar 23 Meter di Bawah Permukaan Laut,3 jam lalu 
34,"Ombak Tinggi, Penyelam Hentikan Sementara Pencarian Pesawat Sriwijaya Air SJY-182",3 jam lalu 
35,BREAKING NEWS: Lokasi Black Box Pesawat Sriwijaya SJ 182 Terpantau,3 jam lalu 
36,"Sinyal Black Box Pesawat Sriwijaya SJ 182 Terus Terpantau, Panglima TNI Optimis Bisa Segera Temukan",3 jam lalu 
37,Ketum PB HMI Arya Kharisma Hardy Benarkan Mulyadi Tamsir Masuk Daftar Manifes Sriwijaya Air SJ 182,3 jam lalu 
38,Unggahan Terakhir Penumpang Pesawat Sriwijaya SJ-182 di Instagram Bikin Terharu Netizen,3 jam lalu 
39,"Bencana Tanah Longsor di Sumedang, Danramil Ikut Tewas Tertimbun, Ratusan Warga Mengungsi",3 jam lalu 
